epoch,time,split,loss,accuracy,f1
0,731.8486499786377,train,0.7398638745127036,0.6798270344734192,0.5158663392066956
0,36.16735053062439,val,0.9896046318563737,0.5872097015380859,0.41812828183174133
1,733.9942073822021,train,0.5923899191943061,0.7639625668525696,0.6224812269210815
1,34.043675899505615,val,0.8547326772261178,0.637788712978363,0.4854375422000885
2,726.031076669693,train,0.48158308453621806,0.8112906813621521,0.6901796460151672
2,34.799609899520874,val,0.8622451546514253,0.6446349620819092,0.501224935054779
3,727.6077878475189,train,0.38563964161317166,0.849316418170929,0.7493935227394104
3,34.59377145767212,val,0.9603869838968011,0.6495617032051086,0.5372524857521057
4,723.0616261959076,train,0.31415953767896043,0.877436637878418,0.7925125956535339
4,32.72132658958435,val,1.0827138638390779,0.6398041844367981,0.5286492705345154
