accuracy,loss,split
0.8945243137955848,0.2667430803729092,train
0.9222532719053248,0.196233064359692,train
0.9446631373348324,0.13885558547077273,train
0.9635563924015942,0.09464007462539385,train
0.9742237815201374,0.06648505094694332,train
0.9795295522875866,0.0536281220835223,train
0.9831223510285859,0.044927748265646154,train
0.9849298979097064,0.03961805211732052,train
0.9865466160342075,0.03570752080813187,train
0.9878566540239776,0.03195495283057321,train
0.6426111047830039,1.1857554374671564,val
0.6644826846394113,1.1918938775372698,val
0.6331276384795584,1.987428746572355,val
0.6560814375799846,1.8011791647934332,val
0.6684426791299649,1.8211370638715543,val
0.6507094279537357,2.4211365236499445,val
0.6513519190191254,2.50082997287192,val
0.6220635946204023,2.8959523197112045,val
0.6665909358156406,2.5326395412770712,val
0.6513128324252803,2.851611887536398,val
