accuracy,loss,split
0.8531361420033714,0.37382699092549665,train
0.8994401972140035,0.25555649913629996,train
0.920685988142743,0.2018305142617537,train
0.9367175829666917,0.15929384547902325,train
0.9530731985279675,0.11880222304270656,train
0.9665027185702287,0.08628111447389317,train
0.9745238007213662,0.06613845443324445,train
0.9798790058507348,0.053098742518940235,train
0.9831813089034525,0.04499546628260839,train
0.9856654678896275,0.03827442718954462,train
0.6953149428212546,0.8840315182034563,val
0.6724442035202088,1.0076906143165216,val
0.6987765790001164,1.0237135000345183,val
0.6429702159835071,1.5270341450605935,val
0.6697716344662799,1.4963249481790435,val
0.667497263933585,1.8853047213903287,val
0.6349402947154471,2.2283402012615667,val
0.660056089967247,2.09779922845887,val
0.6782974712247771,2.117854696948354,val
0.6937050499567171,2.0004536989258557,val
