accuracy,loss,epoch,split
0.9852620109160375,0.038957616390471565,0,train
0.9881231481303817,0.03246344008340648,1,train
0.9887636203187219,0.029941990001079916,2,train
0.9895217605907979,0.02844803167643675,3,train
0.9903423819124424,0.025906565836087133,4,train
0.9911669117331322,0.02424117504242098,5,train
0.9914394062693401,0.023619502731319946,6,train
0.9919088674672005,0.02181361260966608,7,train
0.992212932825821,0.02108481460191544,8,train
0.9924079453066197,0.020516409094349916,9,train
0.6768268254714284,2.259675886572861,0,val
0.6724124453901276,2.2644661713421828,1,val
0.6637693478809139,2.661812685369476,2,val
0.6580357842329072,2.6642649784320738,3,val
0.670619332208866,2.698670907233789,4,val
0.6702260200570269,2.6724551819204314,5,val
0.6671283812057681,2.842397856518505,6,val
0.6754563397508326,2.6923749165806345,7,val
0.6786932261978708,2.5187749891746334,8,val
0.6671699111054583,2.884387942833629,9,val
