accuracy,loss,epoch,split
0.7540975699341426,0.582745226349012,0,train
0.8119260401861276,0.45268500942776924,1,train
0.8365661556132927,0.397335551424487,2,train
0.8529266642260661,0.36007514110438743,3,train
0.8652992252998638,0.33219810175107145,4,train
0.8745892044791977,0.3087923118655789,5,train
0.8824723243782048,0.28976861638275936,6,train
0.8903406741134765,0.2724849132294502,7,train
0.896101042777071,0.2581008309827468,8,train
0.9033026575195259,0.24325065357830897,9,train
0.6297536180307041,0.9779013787798111,0,val
0.6751587816298861,0.9530470298111804,1,val
0.5994695807770961,1.3206578855134228,2,val
0.6570611137797739,1.2098388325704874,3,val
0.6632919420006329,1.0745482366753014,4,val
0.6689992331288344,1.2000300188249848,5,val
0.6415467201322622,1.4477408252854533,6,val
0.6510269191489385,1.3766486268102025,7,val
0.6450271354131172,1.349947026048945,8,val
0.6100091434451457,1.865710667062147,9,val
